Account.Name,Website
ACCESS,https://www.accesscommunity.org/
Bridges to HOPE,https://michiganchronicle.com/bridges-to-hope-launches-in-detroit/
New Economy Initiative,https://neweconomyinitiative.org/
Detroit Horse Power,https://www.detroithorsepower.org/
Liberate Don't Incarcerate,https://www.liberatedontincarcerate.org/
Human Trafficking Commission,https://www.michigan.gov/mhtc
Central City Integrated Health,https://www.centralcityhealth.com/
Groundcover News,https://www.groundcovernews.org/
SummerWorks,https://www.summerworks.info/
Michigan Municipal League,https://mml.org/
Detroit Green Task Force,https://www.detroitgreentaskforce.org/
Fresh Start Clubhouse,https://www.freshstartclubhouse.org/
Community Foundation for Southeast Michigan,https://cfsem.org/
Whitmore Lake Clinic - Hamilton Community Health Network,https://hamiltonchn.org/whitmore-lake-clinic/
Detroit Community Wealth Fund,https://www.detroitcommunitywealth.org/
Empowerment Plan,NA
"Give Merit, Inc.",NA
Community Action Network,NA
Ann Arbor District Library,NA
Washtenaw County Community Mental Health,NA
The Corner Health Center,NA
Bhutanese Community of Michigan,NA
Washtenaw County Water Resources Commissioner’s Office,NA
Ypsilanti District Library - Whittaker,NA
Oakland Livingston Human Services Agency,NA
Detroit Health Department,NA
Wayne Metropolitan Community Action Agency,NA
Warrior Women Against Poverty,NA
Brightmoor Alliance,NA
"Communities First, Inc. - Detroit Office",NA
Detroit VITALS (Virtual Intersystem Telemedicine and Lifestyles Services),NA
Redford Brightmoor Initiative,NA
Birwood House,NA
Washtenaw Office of Community and Economic Development,NA
Jewish Family Services of Washtenaw County,NA
Ypsilanti District Library - Michigan,NA
St. Joseph Mercy Home Care and Hospice,NA
Community Family Life Center,NA
Chandler Park Conservancy,NA
Detroit is Different,NA
Parkridge Community Center/Washtenaw Community College,NA
SOS Community Services,NA
Washtenaw County Health Department,NA
Ypsilanti Meals on Wheels,NA
Hope Clinic,NA
Ann Arbor Meals on Wheels,NA
Avalon Housing,NA
826 Michigan,NA
The Family Empowerment Program,NA
Leslie Science and Nature Center,NA
Student Advocacy Center,NA
Buenos Vecinos,NA
Detroit Urban Solutions (CIV:LAB),NA
Washtenaw County Racial Equity Office,NA
Hands Across the Water,NA
Ypsi Can I Share,NA
"Community Health and Social Services Center, Inc.",NA
Mama Akua Community House,NA
Michigan Economic Development Corporation,NA
Michigan Broadband Cooperative,NA
Association of Businesses of Color (Ypsilanti),NA
MACC Development,NA
Washtenaw Area Council for Children,NA
Michigan Organization on Adolescent Sexual Health,NA
New Detroit,NA
Michigan Center for Youth Justice,NA
City of Ypsilanti,NA
Ypsilanti City Council and Office of the Mayor,NA
5 Healthy Towns,NA
Girls on the Run Southeastern Michigan,NA
North Star Reach,NA
The People's Action,NA
At Bat,NA
482 Forward,NA
Community Development Advocates of Detroit,NA
Joyful Treats Community Development Corporation,NA
East Michigan Environmental Action Council,NA
The James and Grace Lee Boggs Center,NA
Detroit Parent Collective,NA
Henry Ford Village,NA
Detroit Community Health Connection,NA
We the People Michigan,NA
Saline Area Social Services,NA
"Encourage Me, I'm Young",NA
Manchester Community Resource Center,NA
League of Women Voters Ann Arbor Area,NA
WCCMH: Family & Youth Services,NA
Telling It,NA
Detroit People's Platform,NA
Detroit People's Water Board Coalition,NA
Michigan Welfare Rights Organization,NA
Focus: HOPE,NA
Interfaith Council for Peace & Justice,NA
